AA,UA,NK,DL,F9,AS,B6,VX,HA,OO,EV,WN
SDF,JAX,,PWM,,,,,,FAR,ICT,ICT
LIH,SDF,,IAD,,,,,,TUL,OMA,RIC
MDT,MDT,,ORF,,,,,,DSM,GRR,GSP
ICT,PVD,,SAV,,,,,,MBS,GJT,LGB
CHS,EUG,,MDW,,,,,,IAD,CLL,
GSO,FAI,,GRB,,,,,,LAN,AMA,
LBB,MYR,,RIC,,,,,,AZO,SBN,
BHM,MSO,,DLH,,,,,,CMH,MCI,
HOU,SAV,,TVC,,,,,,GRR,BWI,
SAV,PWM,,CAK,,,,,,SPI,CID,
XNA,ONT,,SYR,,,,,,GFK,PHL,
PNS,MKE,,MDT,,,,,,ALB,HSV,
AMA,CVG,,FAI,,,,,,BZN,MAF,
CRP,,,SDF,,,,,,DCA,AEX,
,,,MYR,,,,,,JAC,LCH,
,,,LEX,,,,,,CID,ISN,
,,,XNA,,,,,,BHM,FSD,
,,,RAP,,,,,,MSN,FAR,
,,,LGB,,,,,,OMA,FNT,
,,,OKC,,,,,,MAF,LAN,
,,,DSM,,,,,,LIT,ALB,
,,,MHT,,,,,,ELP,TUS,
,,,BHM,,,,,,SHV,CMH,
,,,HSV,,,,,,MDW,AVP,
,,,GSO,,,,,,PIA,MDT,
,,,SBN,,,,,,OAK,BDL,
,,,GSP,,,,,,IND,MCO,
,,,,,,,,,ATW,SAT,
,,,,,,,,,MSY,PIT,
,,,,,,,,,LEX,AUS,
,,,,,,,,,BDL,COS,
,,,,,,,,,LNK,ABQ,
,,,,,,,,,FSD,RAP,
,,,,,,,,,PIT,SGF,
,,,,,,,,,AVL,IAD,
,,,,,,,,,BOS,AVL,
,,,,,,,,,BUF,CHO,
,,,,,,,,,CLE,BIS,
,,,,,,,,,SDF,PBI,
,,,,,,,,,RSW,MTJ,
,,,,,,,,,LGA,MBS,
,,,,,,,,,VPS,RSW,
,,,,,,,,,LFT,MIA,
,,,,,,,,,GSP,PHX,
,,,,,,,,,TYS,SLC,
,,,,,,,,,PVD,MYR,
,,,,,,,,,AMA,DRO,
,,,,,,,,,MFE,BIL,
,,,,,,,,,MLI,FWA,
,,,,,,,,,GSO,FLL,
,,,,,,,,,SYR,MOT,
,,,,,,,,,TVC,,
,,,,,,,,,JAX,,
,,,,,,,,,ORF,,
,,,,,,,,,PHL,,
,,,,,,,,,MIA,,
,,,,,,,,,RIC,,
,,,,,,,,,FNT,,
,,,,,,,,,CAK,,
,,,,,,,,,BRO,,
,,,,,,,,,ROC,,
,,,,,,,,,PBI,,
,,,,,,,,,EGE,,
,,,,,,,,,PNS,,
,,,,,,,,,SAV,,
,,,,,,,,,AVP,,
,,,,,,,,,CHA,,
,,,,,,,,,CAE,,
,,,,,,,,,EVV,,
,,,,,,,,,ABE,,
,,,,,,,,,HRL,,
,,,,,,,,,BWI,,
,,,,,,,,,MOB,,
,,,,,,,,,EWR,,
,,,,,,,,,KTN,,
,,,,,,,,,SIT,,
,,,,,,,,,MDT,,
,,,,,,,,,HSV,,
,,,,,,,,,PWM,,
,,,,,,,,,ACT,,
,,,,,,,,,MHT,,
,,,,,,,,,SAF,,
